2025-03-29 17:28:17,909 INFO    MainThread:44833 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_setup.py:_flush():67] Configure stats pid to 44833
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_setup.py:_flush():67] Loading settings from /Users/liuyihao/.config/wandb/settings
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_setup.py:_flush():67] Loading settings from /Users/liuyihao/Desktop/m2cw/wandb/settings
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/liuyihao/Desktop/m2cw/wandb/run-20250329_172817-ohuyo0t7/logs/debug.log
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/liuyihao/Desktop/m2cw/wandb/run-20250329_172817-ohuyo0t7/logs/debug-internal.log
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x177baeb70>
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_init.py:init():761] calling init triggers
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_init.py:init():784] starting backend
2025-03-29 17:28:17,910 INFO    MainThread:44833 [wandb_init.py:init():788] sending inform_init request
2025-03-29 17:28:17,940 INFO    MainThread:44833 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-29 17:28:17,940 INFO    MainThread:44833 [wandb_init.py:init():798] backend started and connected
2025-03-29 17:28:17,944 INFO    MainThread:44833 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-29 17:28:17,944 INFO    MainThread:44833 [wandb_init.py:init():891] updated telemetry
2025-03-29 17:28:17,975 INFO    MainThread:44833 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-29 17:28:18,342 INFO    MainThread:44833 [wandb_init.py:init():990] starting run threads in backend
2025-03-29 17:28:18,392 INFO    MainThread:44833 [wandb_run.py:_console_start():2375] atexit reg
2025-03-29 17:28:18,392 INFO    MainThread:44833 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-29 17:28:18,392 INFO    MainThread:44833 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-29 17:28:18,392 INFO    MainThread:44833 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-29 17:28:18,394 INFO    MainThread:44833 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-29 17:28:18,395 INFO    MainThread:44833 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-29 17:28:18,395 INFO    MainThread:44833 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-29 17:28:18,398 INFO    MainThread:44833 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-29 17:28:51,260 INFO    MainThread:44833 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-29 17:28:51,261 INFO    MainThread:44833 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-29 17:28:51,265 INFO    MainThread:44833 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-29 17:28:51,267 INFO    MainThread:44833 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-29 17:28:51,267 INFO    MainThread:44833 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-29 17:28:51,270 INFO    MainThread:44833 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-29 17:28:51,270 INFO    MainThread:44833 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-29 17:28:51,270 INFO    MainThread:44833 [wandb_init.py:_pause_backend():564] pausing backend
2025-03-29 17:28:51,273 INFO    MainThread:44833 [wandb_init.py:_resume_backend():569] resuming backend
2025-03-29 17:28:51,341 INFO    MainThread:44833 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-29 17:28:51,341 INFO    MainThread:44833 [wandb_init.py:_pause_backend():564] pausing backend
